username, created_at, lng, lat, text
rycrkt, Mon Feb 01 23:05:50 +0000 2021, -90.247824, 38.653771, @GreyDeLisle That’s so cool. Like a Whitesnake video, only different. 
andreacaaroline, Mon Feb 01 23:05:50 +0000 2021, -107.342056, 24.662488, Maaaaas aburrida la novela ahora 
rjclifestyle, Mon Feb 01 23:05:50 +0000 2021, -80.178392, 26.039680, @FoxinAround Hell yeah. Those are classics. The 00s was the shit 
mickjensenmj, Mon Feb 01 23:05:50 +0000 2021, -93.361321, 46.441861, @SenTedCruz Gonna do it without you, our party can multitask. 
511NY, Mon Feb 01 23:05:50 +0000 2021, -73.681996, 42.492167, Updated: Incident on #I90 WB at Exit 12; US 9 https://t.co/t27A7NbsZ0 
511nyAlbany, Mon Feb 01 23:05:50 +0000 2021, -73.681996, 42.492167, Updated: Incident on #I90 WB at Exit 12; US 9 https://t.co/IwyTBFucyu 
Jrussellforhire, Mon Feb 01 23:05:50 +0000 2021, -78.562584, 38.823871, Yes, we need to go BIG! 
RiaJanoir, Mon Feb 01 23:05:51 +0000 2021, -117.197082, 33.688047, ENERGY. 🤣🤣🤣 
Hola_Otaola, Mon Feb 01 23:05:51 +0000 2021, -83.804475, 27.698682, Nos vemos este sábado 6 de febrero a las 3:00pm ET. #Caravana por la #libertad de Cuba y #NoDialogoConLaDictadura.… https://t.co/AVzFo9Vq0G 
babie2425, Mon Feb 01 23:05:51 +0000 2021, -104.922093, 39.713563, https://t.co/dEICHyhoEv https://t.co/ppGazIY6hf 
Abi_W6, Mon Feb 01 23:05:51 +0000 2021, -115.038337, 36.006256, I’m gonna fight @BriCallMeDaddy  ...y’all pray for me 😅 
CalleyLorraine, Mon Feb 01 23:05:51 +0000 2021, -100.076888, 31.168893, Getting in her 20 minutes but with her it's been like 40min. #TheOddSquad #2ndGrade@PKthru5mustangs @RudyJuarezJr… https://t.co/4SYvxdA9M7 
Aostrowski52, Mon Feb 01 23:05:51 +0000 2021, -82.669467, 40.365160, @MyCh3micalSwift Yes 🙌🏼 
RobinsonFarmCou, Mon Feb 01 23:05:51 +0000 2021, -80.353798, 42.661813, @justinhiebert Congrats Justin 
GMBanks19, Mon Feb 01 23:05:51 +0000 2021, -77.101999, 38.880845, @imani_hope Oooooh the player days 
CharlottePTV, Mon Feb 01 23:05:51 +0000 2021, -74.099828, 40.999128, Thanks for listening &amp; sharing! 
jorge_ortzc, Mon Feb 01 23:05:51 +0000 2021, -75.194798, 39.951844, making a mental note to apply for postdocs in warmer climates 🥶😅🥶 https://t.co/PyRUfeIPIb 
razzaq_samia, Mon Feb 01 23:05:51 +0000 2021, -122.044814, 37.592159, @kaikausMir عوام کو سمجھ آجانا چاہیے کہ سب سیاسی جماعتیں اپنے اپنے مفاد کے لئے لڑ رہے ہیں, عوام ان کی ترجیحات میں کہیں بھی نہیں ہے- 
PattiJ26089081, Mon Feb 01 23:05:51 +0000 2021, -120.583402, 44.145437, @natalievaness15 Are you in a Union yet? 
badgalcurscurs, Mon Feb 01 23:05:51 +0000 2021, -95.446486, 29.838495, ALL THE CAUCASIANS TO THE BACK! IMMEDIATELY!!!!! 
5iveminutes_, Mon Feb 01 23:05:51 +0000 2021, -73.948775, 40.655138, She killin that shit 
RealPaulCortese, Mon Feb 01 23:05:52 +0000 2021, -73.291075, 41.405751, @smora75 @GuruFromHell1 @CNBC @CNBCMakeIt Yeah those 2 Senate seats did WONDERS to help world peace 👌🏻 
realspillphil, Mon Feb 01 23:05:52 +0000 2021, -90.158017, 32.230987, Y’all make sure to tune in tonight!! Y’all know we got a lot to talk about !! 
GayRobot_, Mon Feb 01 23:05:52 +0000 2021, -87.732013, 41.833585, @Zaphirah_ https://t.co/XOtsayAk80 
_celybatista, Mon Feb 01 23:05:52 +0000 2021, -73.531609, 40.850902, Omggg 😓😓😓 
EnzzoFarina, Mon Feb 01 23:05:52 +0000 2021, -79.272570, 43.629311, Eu sempre arrumando sarna pra me coçar... HAHAHAH 
Bodega_mamii, Mon Feb 01 23:05:52 +0000 2021, -77.604684, 41.117936, @taurusjawn Fuck em , you’re a boss and a badass bitch period 
m_tomcik13, Mon Feb 01 23:05:52 +0000 2021, -79.909708, 40.407274, I told Shaquille I would die if I didn’t get a sammy for dinner today and I came home from work and he’s making me a sammy 🥺❤️ 
CandeReza, Mon Feb 01 23:05:52 +0000 2021, -101.166961, 25.032632, Claro que es mejor construir. Bien por mi diputada @marthaloeraa 
zainss, Mon Feb 01 23:05:52 +0000 2021, -74.561875, 40.378381, It’s amazing how you can invest from the comfort of your home with a few taps on the screen. 
BriDatBxtch2, Mon Feb 01 23:05:53 +0000 2021, -87.010551, 34.580925, yeah I’m super straight fasho. 
raulrenteriav, Mon Feb 01 23:05:53 +0000 2021, -111.001401, 31.192592, Te mando un abrazo estimado @davidanayac , feliz cumpleaños. 
siamlebien, Mon Feb 01 23:05:53 +0000 2021, -123.010680, 49.281300, New creation of February, Khao Soi. Noodle in northern style curry, serve with chicken leg. @ Siam le bien Thai Cui… https://t.co/TvKkbl490U 
dededablackk, Mon Feb 01 23:05:53 +0000 2021, -95.446486, 29.838495, Gangsta fever‼️ 
MaxineGerardo, Mon Feb 01 23:05:53 +0000 2021, -74.612821, 40.610755, Don't worry guys I got some beer 
alisguerra8, Mon Feb 01 23:05:53 +0000 2021, -116.929102, 32.332876, @RafaElorduy Sí, habilitaron otro porque el otro se saturó 🙄 
Raeeography, Mon Feb 01 23:05:53 +0000 2021, -97.754724, 30.323346, @WeirdFemaleMel i did. you on plunder?? 
1STLADYTRAYZ, Mon Feb 01 23:05:53 +0000 2021, -122.386791, 37.719994, Just posted a photo @ Double Rock https://t.co/EG8y5gPrPS 
EvanSvobodaQB10, Mon Feb 01 23:05:53 +0000 2021, -111.737566, 33.405755, @coach_norv • Evan Svoboda• C/O 2021 • 3⭐ Quarterback• 6'5" 225 Lbs.• 3.89 GPA• Red Mountain High School• Mes… https://t.co/EGaL2C2Fzm 
taylormone__, Mon Feb 01 23:05:53 +0000 2021, -73.948775, 40.655138, @shellyhockett It’s okayyyy 🤣 
SurinachEs, Mon Feb 01 23:05:53 +0000 2021, -71.088712, 42.313670, That's very true 
bstoffel350, Mon Feb 01 23:05:53 +0000 2021, -93.040281, 44.883849, @SkolChants https://t.co/xzJ23c7xyQ 
Kiezz9, Mon Feb 01 23:05:54 +0000 2021, -80.146568, 39.478155, @jshmoove1 ❤️🤞🏾 
JSeramba, Mon Feb 01 23:05:54 +0000 2021, -80.846785, 35.209059, ‘Category 5’ COVID Hurricane Approaches, Expert Says https://t.co/aDXxzjuZPc from @WebMD 
truthwisper47, Mon Feb 01 23:05:54 +0000 2021, -86.680738, 32.576227, @aldotcom Other restaurants show take notes and learn to be respectful towards people like Chick- fil -a 
sensationall_, Mon Feb 01 23:05:54 +0000 2021, -75.770041, 42.746617, Bloomberg would never. 
royalrea_, Mon Feb 01 23:05:54 +0000 2021, -118.411907, 34.020789, I be sitting quiet on a lot of topics on here but I’m bout to start getting on youtube and addressing them. I have a lot to say😂 
KeepingUpWNani, Mon Feb 01 23:05:54 +0000 2021, -71.088712, 42.313670, All this balling might offend, gon fuck up your mental 
xxisaacgogelxx, Mon Feb 01 23:05:54 +0000 2021, -86.441236, 39.766555, @Patskrieg Absolutely not, a guard? 🤣🤣 Dime a dozen. 
